Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
torso_base_link,-0.0470176847468226,2.49813725718533E-18,-0.0489556288399936,0,0,0,2.77762716357921,0.00680573131801171,-1.09655201243339E-18,0.000377212178676998,0.0044128931197468,9.63312125049071E-20,0.007730843281856,0,0,0,0,0,0,package://HRO-c2-v1/meshes/torso_base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/torso_base_link.STL,,torso_assembly-1/torso_base_link-1;torso_assembly-1/pan_joint_input-1;right_leg_assembly-1/leg_joint_1_input-1;left_leg_assembly-1/leg_joint_1_input-1,TORSO_BASE_FRAME,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
torso_mid_link,-0.00156357939065214,0.00715796001621209,0.0658836105821333,0,0,0,1.31668834620413,0.00267382913699783,-1.5450639337885E-08,3.09538253606686E-06,0.0020105000349069,3.47184836178839E-10,0.0030443100233419,0,0,0,0,0,0,package://HRO-c2-v1/meshes/torso_mid_link.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/torso_mid_link.STL,,torso_assembly-1/pan_joint_output-1;torso_assembly-1/tilt_joint_input-1;torso_assembly-1/torso_mid_link-1,TORSO_PAN_FRAME,TORSO_PAN_JOINT_AXIS,torso_pan_joint,revolute,0,0,0,0,0,0,torso_base_link,0,0,1,0,0,0,0,,,,,,,,
torso_upper_link,3.03576608295941E-18,0.149492492845789,0.000746189436203436,0,0,0,12.6305432689078,0.175502383244543,3.20078326002922E-18,-7.05998652814009E-19,0.09988086580408,2.81443637384186E-17,0.118925769103356,0,0,0,0,0,0,package://HRO-c2-v1/meshes/torso_upper_link.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/torso_upper_link.STL,,torso_assembly-1/tilt_joint_output-1;torso_assembly-1/torso_upper_link-1;arm_assembly-2/arm_joint_1_input-1;arm_assembly-1/arm_joint_1_input-1,TORSO_TILT_FRAME,TORSO_TILT_JOINT_AXIS,torso_tilt_joint,revolute,-0.002,0,0.09,1.5708,0,0,torso_mid_link,0,0,1,0,0,0,0,,,,,,,,
right_arm_link_1_2,6.66228826226023E-05,0.00972182902507468,0.111510647715915,0,0,0,0.895979439094536,0.00172631943125684,-3.09551137722688E-07,-6.82522919895056E-07,0.00167498130035058,-0.000284594014603556,0.00118988088668159,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_arm_link_1_2.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_arm_link_1_2.STL,,arm_assembly-1/arm_joint_1_output-1;arm_assembly-1/arm_joint_2_input-2;arm_assembly-1/arm_link_shell_1_2-1,RIGHT_ARM_GEN_1,RIGHT_ARM_JOINT_1_AXIS,right_arm_joint_1,revolute,0,0.25913,0.12256,0,0.34907,1.5708,torso_upper_link,0,0,1,0,0,0,0,,,,,,,,
right_arm_link_2_3,-6.90115387870227E-05,0.094105278868877,0.0187134412332429,0,0,0,0.939060504303801,0.00214875863471669,9.44036791996364E-07,-4.60285255478099E-07,0.0013044349407048,0.000397355965561895,0.00205972072677408,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_arm_link_2_3.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_arm_link_2_3.STL,,arm_assembly-1/arm_joint_2_output-1;arm_assembly-1/arm_joint_3_input-1;arm_assembly-1/arm_link_shell_2_3-1,RIGHT_ARM_GEN_2,RIGHT_ARM_JOINT_2_AXIS,right_arm_joint_2,revolute,2.2306018498619E-05,0.001,0.143973500694112,-1.57079632679491,-1.22173047639603,-3.14159265358979,right_arm_link_1_2,0,0,-1,0,0,0,0,,,,,,,,
right_arm_link_3_4,6.65707262159088E-05,0.00972352162770297,0.111509451426319,0,0,0,0.896019898350293,0.00172628185309757,-3.04577399126175E-07,-6.32019869519424E-07,0.00167501327849442,-0.000284584761191662,0.00118994977603313,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_arm_link_3_4.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_arm_link_3_4.STL,,arm_assembly-1/arm_joint_3_output-1;arm_assembly-1/arm_joint_4_input-1;arm_assembly-1/arm_link_shell_3_4-1,RIGHT_ARM_GEN_3,RIGHT_ARM_JOINT_3_AXIS,right_arm_joint_3,revolute,-0.000101671704491268,0.155917928242505,-0.00100000000000001,-1.5707963267949,0,0,right_arm_link_2_3,0,0,1,0,0,0,0,,,,,,,,
right_arm_link_4_5,-5.49865908335279E-05,0.0775910844587119,0.0234807779443568,0,0,0,0.754320266549122,0.00179236507674986,6.90133957738273E-07,-3.21555583874682E-07,0.000991242562896005,0.000365224224172024,0.00172043416937765,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_arm_link_4_5.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_arm_link_4_5.STL,,arm_assembly-1/arm_joint_4_output-1;arm_assembly-1/arm_link_shell_4_5-1;arm_assembly-1/arm_joint_5_input-1,RIGHT_ARM_GEN_4,RIGHT_ARM_JOINT_4_AXIS,right_arm_joint_4,revolute,0.000101671704491213,0.001,0.144082071757494,1.5707963267949,0,0,right_arm_link_3_4,0,0,-1,0,0,0,0,,,,,,,,
right_arm_link_5_6,4.81902417087121E-05,0.0120985252809178,0.0723353962405098,0,0,0,0.83041067582962,0.00131924081441891,-2.47395702841062E-07,-3.72363128380557E-07,0.0013094675952543,-0.00021592222931928,0.000848367166264488,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_arm_link_5_6.STL,0.352941176470588,0.176470588235294,0,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_arm_link_5_6.STL,,arm_assembly-1/arm_joint_5_input-1;arm_assembly-1/arm_link_shell_5_6-1;arm_assembly-1/arm_joint_6_input-1,RIGHT_ARM_GEN_5,RIGHT_ARM_JOINT_5_AXIS,right_arm_joint_5,revolute,-0.000101671704491324,0.155917928242505,-0.00100000000000001,-1.5707963267949,0,0,right_arm_link_4_5,0,0,1,0,0,0,0,,,,,,,,
right_arm_link_6_7,5.55440967286436E-05,-0.0645895980066019,0.0130664227994459,0,0,0,0.60300944764139,0.000896383140689381,4.10066188280186E-07,1.93351371226553E-07,0.0006419209613309,-0.000161415996999139,0.000893939105049774,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_arm_link_6_7.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_arm_link_6_7.STL,,arm_assembly-1/arm_joint_6_output-1;arm_assembly-1/arm_link_shell_6_7-1;arm_assembly-1/arm_joint_7_input-1,RIGHT_ARM_GEN_6,RIGHT_ARM_JOINT_6_AXIS,right_arm_joint_6,revolute,8.89857532566651E-05,0.00100000000000001,0.139053221189858,-1.5707963267949,0,-3.14159265358979,right_arm_link_5_6,0,0,-1,0,0,0,0,,,,,,,,
right_arm_link_7_flange,3.33066907387547E-16,2.67147415300428E-16,0.0301250008394433,0,0,0,0.177051025330653,0.000118796552031385,1.56481807981463E-34,-3.17734555563843E-20,0.000118796552031385,8.02581233020028E-21,0.000183558435030556,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_arm_link_7_flange.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_arm_link_7_flange.STL,,arm_assembly-1/arm_joint_7_output-1;arm_assembly-1/arm_link_shell_7_flange-1,RIGHT_ARM_GEN_7,RIGHT_ARM_JOINT_7_AXIS,right_arm_joint_7,revolute,8.89857532564986E-05,-0.114946778810142,-0.00100000000000156,-1.5707963267949,0,3.14159265358979,right_arm_link_6_7,0,0,1,0,0,0,0,,,,,,,,
left_arm_link_1_2,6.68056881808488E-05,0.00972202733370394,0.11151042462186,0,0,0,0.89599592342446,0.00172626724739608,-3.14820393570986E-07,-6.26655379808464E-07,0.00167498985667316,-0.000284592291274682,0.00118993521990925,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_arm_link_1_2.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_arm_link_1_2.STL,,arm_assembly-2/arm_joint_1_output-1;arm_assembly-2/arm_joint_2_input-2;arm_assembly-2/arm_link_shell_1_2-1,LEFT_ARM_GEN_1,LEFT_ARM_JOINT_1_AXIS,left_arm_joint_1,revolute,0,0.259129173662444,-0.122556972690391,-3.14159265358979,0.349065850398867,-1.5707963267949,torso_upper_link,0,0,1,0,0,0,0,,,,,,,,
left_arm_link_2_3,-6.90426710535652E-05,0.0941053457333715,0.0187133302565228,0,0,0,0.939058631694167,0.00214876243508114,9.44564681761921E-07,-4.61703336688338E-07,0.00130444188982548,0.000397356533260076,0.00205972503663058,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_arm_link_2_3.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_arm_link_2_3.STL,,arm_assembly-2/arm_joint_2_output-1;arm_assembly-2/arm_link_shell_2_3-1;arm_assembly-2/arm_joint_3_input-1,LEFT_ARM_GEN_2,LEFT_ARM_JOINT_2_AXIS,left_arm_joint_2,revolute,0.000176550468282966,0.00100000000000001,0.143970358917364,-1.5707963267949,1.22173047639603,3.14159265358979,left_arm_link_1_2,0,0,1,0,0,0,0,,,,,,,,
left_arm_link_3_4,6.6611577816178E-05,0.00972343067585797,0.11150949773672,0,0,0,0.896018108797937,0.00172628223662743,-3.06077863204356E-07,-6.31257988057324E-07,0.00167501444901381,-0.000284584988629101,0.00118995074389738,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_arm_link_3_4.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_arm_link_3_4.STL,,arm_assembly-2/arm_joint_3_output-1;arm_assembly-2/arm_link_shell_3_4-1;arm_assembly-2/arm_joint_4_input-1,LEFT_ARM_GEN_3,LEFT_ARM_JOINT_3_AXIS,left_arm_joint_3,revolute,-0.000101671704491157,0.155917928242505,-0.000999999999999994,-1.5707963267949,0,0,left_arm_link_2_3,0,0,1,0,0,0,0,,,,,,,,
left_arm_link_4_5,-5.49865813643247E-05,0.0775910844580704,0.0234807779439432,0,0,0,0.754320266598631,0.00179236507671689,6.90133910317577E-07,-3.21555655297684E-07,0.000991242563053442,0.000365224224174344,0.00172043416957939,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_arm_link_4_5.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_arm_link_4_5.STL,,arm_assembly-2/arm_joint_4_output-1;arm_assembly-2/arm_link_shell_4_5-1;arm_assembly-2/arm_joint_5_input-1,LEFT_ARM_GEN_4,LEFT_ARM_JOINT_4_AXIS,left_arm_joint_4,revolute,0.000101671704490991,0.001,0.144082071757494,1.5707963267949,0,0,left_arm_link_3_4,0,0,1,0,0,0,0,,,,,,,,
left_arm_link_5_6,6.35484435694278E-05,0.0159543182163423,0.103902471984837,0,0,0,0.629719453932973,0.0011592397377618,-2.47395702835245E-07,-3.72363128329068E-07,0.00114946651859718,-0.000215922229319279,0.000695741492012087,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_arm_link_5_6.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_arm_link_5_6.STL,,arm_assembly-2/arm_joint_5_output-1;arm_assembly-2/arm_link_shell_5_6-1;arm_assembly-2/arm_joint_6_input-1,LEFT_ARM_GEN_5,LEFT_ARM_JOINT_5_AXIS,left_arm_joint_5,revolute,-0.000101671704491157,0.155917928242505,-0.001,-1.5707963267949,0,0,left_arm_link_4_5,0,0,1,0,0,0,0,,,,,,,,
left_arm_link_6_7,-5.55440967294207E-05,0.064589598006602,0.0130664227994461,0,0,0,0.603009447641394,0.000896383140689378,4.10066188275672E-07,-1.9335137122609E-07,0.0006419209613309,0.000161415996999138,0.000893939105049779,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_arm_link_6_7.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_arm_link_6_7.STL,,arm_assembly-2/arm_joint_6_output-1;arm_assembly-2/arm_link_shell_6_7-1;arm_assembly-2/arm_joint_7_input-1,LEFT_ARM_GEN_6,LEFT_ARM_JOINT_6_AXIS,left_arm_joint_6,revolute,8.89857532566651E-05,0.00100000000000001,0.139053221189858,1.5707963267949,0,0,left_arm_link_5_6,0,0,1,0,0,0,0,,,,,,,,
left_arm_link_7_flange,-5.55111512312578E-17,-2.25514051876985E-17,0.0301250008394434,0,0,0,0.177051025330653,0.000118796552031385,-5.68939265797987E-36,1.95913932896201E-20,0.000118796552031385,-1.11534853854529E-21,0.000183558435030557,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_arm_link_7_flange.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_arm_link_7_flange.STL,,arm_assembly-2/arm_joint_7_output-1;arm_assembly-2/arm_link_shell_7_flange-1,LEFT_ARM_GEN_7,LEFT_ARM_JOINT_7_AXIS,left_arm_joint_7,revolute,-8.89857532564986E-05,0.114946778810142,-0.000999999999999996,-1.5707963267949,0,0,left_arm_link_6_7,0,0,1,0,0,0,0,,,,,,,,
right_leg_link_1_2,0.0187737687333483,-0.0799753208695129,0.0291053393784098,0,0,0,1.91641217571984,0.00536305220858553,0.0015254699824329,-1.56831294556851E-05,0.00241943278094351,-5.84573412750941E-05,0.00592596030594809,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_leg_link_1_2.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_leg_link_1_2.STL,,right_leg_assembly-1/leg_joint_1_output-1;right_leg_assembly-1/leg_joint_2_input-2;right_leg_assembly-1/right_leg_link_shell_1_2-1,RIGHT_LEG_GEN_1,RIGHT_LEG_JOINT_1_AXIS,right_leg_joint_1,revolute,-0.03,-0.1,-0.05,1.5708,0,1.5708,torso_base_link,0,0,1,0,0,0,0,,,,,,,,
right_leg_link_2_3,6.31217927510246E-05,-0.106217157949777,0.019012200980757,0,0,0,0.960297020805429,0.00253388889667181,9.72671733248472E-07,3.95401438652672E-07,0.00134969836656703,-0.000477220247538095,0.00244163494161061,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_leg_link_2_3.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_leg_link_2_3.STL,,right_leg_assembly-1/leg_joint_2_output-1;right_leg_assembly-1/leg_link_shell_2_3-1;right_leg_assembly-1/leg_joint_3_input-1,RIGHT_LEG_GEN_2,RIGHT_LEG_JOINT_2_AXIS,right_leg_joint_2,revolute,-0.000999999999999959,-0.124082071757494,0.029998328295509,0,-1.5707963267949,0,right_leg_link_1_2,0,0,1,0,0,0,0,,,,,,,,
right_leg_link_3_4,-6.98893011698929E-05,-0.01032115118302,0.131072309778655,0,0,0,0.928188916171351,0.0022222868624958,-3.10931297585512E-07,1.19667246604344E-06,0.00217452041555269,0.00037633875802305,0.00124893833995951,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_leg_link_3_4.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_leg_link_3_4.STL,,right_leg_assembly-1/leg_joint_3_output-1;right_leg_assembly-1/leg_link_shell_3_4-1;right_leg_assembly-1/leg_joint_4_input-1,RIGHT_LEG_GEN_3,RIGHT_LEG_JOINT_3_AXIS,right_leg_joint_3,revolute,0.000101671704490934,-0.175917928242506,-0.001,1.5707963267949,0,0,right_leg_link_2_3,0,0,1,0,0,0,0,,,,,,,,
right_leg_link_4_5,5.19678802702193E-05,-0.0882835437975573,0.0237427814794535,0,0,0,0.774400602834919,0.00215315436642249,8.73944511776648E-07,3.97802806915571E-07,0.00102989977137454,-0.000439833002381071,0.00207720146014271,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_leg_link_4_5.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_leg_link_4_5.STL,,right_leg_assembly-1/leg_joint_4_output-1;right_leg_assembly-1/leg_link_shell_4_5-1;right_leg_assembly-1/leg_joint_5_input-1,RIGHT_LEG_GEN_4,RIGHT_LEG_JOINT_4_AXIS,right_leg_joint_4,revolute,-0.000101671704490671,-0.00100000000000001,0.174082071757495,-1.5707963267949,0,0,right_leg_link_3_4,0,0,1,0,0,0,0,,,,,,,,
right_leg_link_5_6,-6.10693669290388E-05,-0.0164428439695284,0.123012703864981,0,0,0,0.662392371788132,0.00157330538844869,-2.42500581153194E-07,3.08107599004869E-07,0.00156804432194175,0.00028774505215888,0.000745824849757463,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_leg_link_5_6.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_leg_link_5_6.STL,,right_leg_assembly-1/leg_joint_5_output-1;right_leg_assembly-1/leg_link_shell_5_6-1;right_leg_assembly-1/leg_joint_6_input-1,RIGHT_LEG_GEN_5,RIGHT_LEG_JOINT_5_AXIS,right_leg_joint_5,revolute,0.000101671704490709,-0.175917928242505,-0.000999999999999987,1.5707963267949,0,0,right_leg_link_4_5,0,0,1,0,0,0,0,,,,,,,,
right_leg_link_6_7,5.55440967294612E-05,-0.0645895980066015,0.0130664227994463,0,0,0,0.603009447641397,0.000896383140689379,4.10066188287541E-07,1.93351371224935E-07,0.000641920961330903,-0.000161415996999139,0.000893939105049785,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_leg_link_6_7.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_leg_link_6_7.STL,,right_leg_assembly-1/leg_joint_6_output-1;right_leg_assembly-1/leg_link_shell_6_7-1;right_leg_assembly-1/leg_joint_7_input-1,RIGHT_LEG_GEN_6,RIGHT_LEG_JOINT_6_AXIS,right_leg_joint_6,revolute,-8.89857532565484E-05,-0.00100000000000001,0.169053221189858,-1.5707963267949,0,0,right_leg_link_5_6,0,0,1,0,0,0,0,,,,,,,,
right_foot,0.0241549347415607,-1.38777878078145E-17,0.0493964918723007,0,0,0,0.712809875248307,0.000425877652408794,-1.609489654618E-19,6.02911944625875E-06,0.00158617636175482,1.42167247423895E-20,0.00193887163391243,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_foot.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/right_foot.STL,,right_leg_assembly-1/leg_joint_7_output-1;right_leg_assembly-1/leg_link_shell_7_foot-1;right_leg_assembly-1/foot-1,RIGHT_LEG_GEN_7,RIGHT_LEG_JOINT_7_AXIS,right_leg_joint_7,revolute,8.89857532565355E-05,-0.114946778810142,-0.001,1.5707963267949,0,0,right_leg_link_6_7,0,0,1,0,0,0,0,,,,,,,,
left_leg_link_1_2,-0.0187737687333483,-0.0799753208695129,0.0291053393784099,0,0,0,1.91641217571983,0.00536305220858552,-0.00152546998243291,1.56831294556847E-05,0.00241943278094351,-5.84573412750956E-05,0.00592596030594808,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_leg_link_1_2.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_leg_link_1_2.STL,,left_leg_assembly-1/leg_joint_1_output-1;left_leg_assembly-1/left_leg_link_shell_1_2-1;left_leg_assembly-1/leg_joint_2_input-2,LEFT_LEG_GEN_1,LEFT_LEG_JOINT_1_AXIS,left_leg_joint_1,revolute,-0.03,0.1,-0.05,1.5707963267949,0,1.5707963267949,torso_base_link,0,0,1,0,0,0,0,,,,,,,,
left_leg_link_2_3,-4.7896055792111E-05,0.079881456432898,0.00831301576050686,0,0,0,1.2765673429708,0.00289462151649054,9.72698084278204E-07,-3.95472998528286E-07,0.00171043095688368,0.000477220208076753,0.00274778464572006,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_leg_link_2_3.STL,0.352941176470588,0.176470588235294,0,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_leg_link_2_3.STL,,left_leg_assembly-1/leg_joint_2_input-2;left_leg_assembly-1/leg_link_shell_2_3-1;left_leg_assembly-1/leg_joint_3_input-1,LEFT_LEG_GEN_2,LEFT_LEG_JOINT_2_AXIS,left_leg_joint_2,revolute,0.001,-0.124082071757494,0.0300016717044909,3.14159265358979,-1.5707963267949,0,left_leg_link_1_2,0,0,1,0,0,0,0,,,,,,,,
left_leg_link_3_4,6.98911337971829E-05,0.0103211509348096,0.131072311142677,0,0,0,0.928188897548377,0.00222228684330113,-3.10929884290934E-07,-1.19663366064781E-06,0.00217452039277163,-0.000376338758038212,0.00124893833495017,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_leg_link_3_4.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_leg_link_3_4.STL,,left_leg_assembly-1/leg_joint_3_output-1;left_leg_assembly-1/leg_link_shell_3_4-1;left_leg_assembly-1/leg_joint_4_input-1,LEFT_LEG_GEN_3,LEFT_LEG_JOINT_3_AXIS,left_leg_joint_3,revolute,-0.000101671704490934,0.175917928242506,-0.001,-1.5707963267949,0,0,left_leg_link_2_3,0,0,1,0,0,0,0,,,,,,,,
left_leg_link_4_5,-5.19728980263161E-05,0.0882835378669332,0.0237427888531114,0,0,0,0.774400761417378,0.00215315446342486,8.73940873619505E-07,-3.97696557147387E-07,0.00102989996878608,0.000439833004698648,0.00207720156075221,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_leg_link_4_5.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_leg_link_4_5.STL,,left_leg_assembly-1/leg_joint_4_output-1;left_leg_assembly-1/leg_link_shell_4_5-1;left_leg_assembly-1/leg_joint_5_input-1,LEFT_LEG_GEN_4,LEFT_LEG_JOINT_4_AXIS,left_leg_joint_4,revolute,0.00010167170449067,0.00100000000000001,0.174082071757495,1.5707963267949,0,0,left_leg_link_3_4,0,0,1,0,0,0,0,,,,,,,,
left_leg_link_5_6,6.10693669287858E-05,0.0164428439695287,0.123012703864981,0,0,0,0.662392371788149,0.00157330538844873,-2.42500581150457E-07,-3.08107599000823E-07,0.00156804432194181,-0.000287745052158881,0.000745824849757476,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_leg_link_5_6.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_leg_link_5_6.STL,,left_leg_assembly-1/leg_joint_5_output-1;left_leg_assembly-1/leg_link_shell_5_6-1;left_leg_assembly-1/leg_joint_6_input-1,LEFT_LEG_GEN_5,LEFT_LEG_JOINT_5_AXIS,left_leg_joint_5,revolute,-0.000101671704490709,0.175917928242505,-0.001,-1.5707963267949,0,0,left_leg_link_4_5,0,0,1,0,0,0,0,,,,,,,,
left_leg_link_6_7,-5.55440967287538E-05,0.0645895980066017,0.0130664227994462,0,0,0,0.60300944764139,0.00089638314068938,4.10066188274902E-07,-1.93351371226564E-07,0.000641920961330898,0.000161415996999143,0.000893939105049778,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_leg_link_6_7.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_leg_link_6_7.STL,,left_leg_assembly-1/leg_joint_6_output-1;left_leg_assembly-1/leg_link_shell_6_7-1;left_leg_assembly-1/leg_joint_7_input-1,LEFT_LEG_GEN_6,LEFT_LEG_JOINT_6_AXIS,left_leg_joint_6,revolute,8.89857532565419E-05,0.00100000000000001,0.169053221189858,1.5707963267949,0,0,left_leg_link_5_6,0,0,1,0,0,0,0,,,,,,,,
left_foot,0.024154934741561,0,0.0493964918723007,0,0,0,0.712809875248304,0.000425877652408792,-1.36144354303111E-19,6.02911944625945E-06,0.00158617636175481,6.5514154345866E-21,0.00193887163391242,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_foot.STL,0,0.180392156862745,0.352941176470588,1,0,0,0,0,0,0,package://HRO-c2-v1/meshes/left_foot.STL,,left_leg_assembly-1/leg_joint_7_output-1;left_leg_assembly-1/leg_link_shell_7_foot-1;left_leg_assembly-1/foot-1,LEFT_LEG_GEN_7,LEFT_LEG_JOINT_7_AXIS,left_leg_joint_7,revolute,-8.89857532565216E-05,0.114946778810142,-0.001,-1.5707963267949,0,0,left_leg_link_6_7,0,0,1,0,0,0,0,,,,,,,,
